name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	BASO_COUNT	EO_COUNT	HCT	HGB	LYMPH_COUNT	MCH	MCHC	MCV	MEAN_RETIC_VOL	MONO_COUNT	MPV	NEUTRO_COUNT	PLT_COUNT	RBC_COUNT	RETIC_COUNT	WBC_COUNT
BM1077-MEP-Frozen-160107-38	MEP	26.075	-11.349	-3.6326	5.7111	2.7686	-0.13692	1.9039	-0.26061	-1.6159	-2.4557	-0.811589667272165	-1.86501909983009	-1.27116401762653	-0.534881217309236	1.2076399608013	-1.19811139641737	-0.741229143771708	-1.51073341822942	-1.7103818020334	-0.905474467384041	-0.0663049762304505	0.673239437368647	0.608396185444193	-1.3248198232255	1.39385910764929	0.58700734435638
singles-BM0828-MEP-160420-6	MEP	29.629	-10.882	-3.5421	5.4895	4.5545	1.3673	1.8504	-0.16413	-1.698	-2.3383	1.31463392090361	-0.82754343502599	0.956365417922019	1.15324178881092	-0.321789618659746	-0.215605418347966	-0.720725377717394	0.548696935037191	0.319557218388244	-0.26137814277582	0.709549718707126	-0.465315666615854	0.635049221306709	1.02226495696059	-0.317817736837461	-0.323829700009148
BM1077-MEP-Frozen-160107-91	MEP	22.655	-11.631	-3.7513	5.2368	2.5698	-0.47382	1.7005	-0.13929	-1.475	-2.2681	3.73638717414637	0.770453009854996	-0.36218310672345	-0.911048652077187	-1.60502349124016	-1.36633793123437	-0.981403822020442	-0.30861267228537	-0.156719020198381	0.84337330582523	0.525683520121234	2.47721955744299	0.353008550838118	-1.43168820526955	-0.621284264587746	1.56722158644704
singles-BM0828-MEP-160420-41	MEP	32.883	-8.6579	-4.8132	4.8733	4.7748	1.5885	1.403	-0.2459	-1.3524	-2.5165	-0.870360763373917	-0.962717893446235	-0.343934065347404	-0.418579116955772	-1.00299958385762	0.824407013422683	-0.717289256345806	1.24214609089723	1.11884544558807	0.0629545251926939	-0.809035453157183	0.645723004176688	0.469882578373942	-0.0038233201023403	-0.797123875716779	0.51597033089513
singles-BM0828-MEP-160420-66	MEP	33.343	-10.105	-3.3928	5.7813	4.3343	1.3441	2.0354	-0.56717	-1.7947	-2.4141	-0.478175503219338	1.54294148013351	-0.791807507089315	-1.09912192123094	-0.340752989913017	-1.26551944965837	-0.915351662759938	-0.969155362600149	-1.8791599350645	0.502081364692596	-0.541636213061816	-0.341281367183333	1.67253787826321	-1.24889210662847	-0.954893250985551	-1.48344515975115
BM1077-MEP-Frozen-160107-43	MEP	25.232	-11.836	-3.4376	5.4391	2.9524	-0.024324	1.8214	-0.34447	-1.6489	-2.3621	-0.503836174268398	-0.340553803796635	-0.268220401142824	-0.221191320690644	-0.576299873777609	-0.771055456582948	-0.830093677405671	-1.11283141901181	-1.36679061164959	-0.454190228561156	3.27381462983098	-0.690468249403197	0.359729167051903	-0.698953534929706	1.12425734951284	-0.308837152820103
singles-MEP-141017-68	MEP	18.772	-12.196	-3.1299	4.6406	2.7969	-0.15778	1.3415	-0.13103	-1.7132	-2.1842	-0.232928792163552	-0.746922856707542	-0.35333197228587	-0.75212839047066	0.131203524171142	-0.77703398172794	-0.403948053072965	-0.427584862372688	-0.191695671839661	-0.713572814400728	-0.966457687473023	1.06270920270366	-1.04612986874161	-0.340145545886201	-0.5243490160346	0.680611083737025
singles-BM0828-MEP-160420-74	MEP	20.185	-12.42	-3.592	4.6811	3.205	0.50062	1.1426	-0.19936	-1.4168	-2.1622	-0.438636205018184	-0.607916767103778	0.101905340595984	-0.540399034558383	-0.257024840946709	0.872305697877674	-0.535827583494863	1.29844273790819	1.0447353048205	-0.7055370162327	-0.440829804156237	0.321137756942954	-0.182779055351195	-0.0921030143198645	0.905227259839024	-0.146060359983369
BM1077-MEP-Frozen-160107-89	MEP	19.483	-12.108	-3.7965	4.8043	2.5455	-0.2196	1.3923	-0.097059	-1.2531	-2.0793	-0.669779018278665	2.14546390857587	-0.774114325979863	-0.963013677282603	-0.177006053696962	-1.61436543197813	0.804124802486682	0.00984442106836559	1.06443882656095	0.647246070487952	1.35418826291086	1.77642316225737	1.31530748126008	-1.34341693853975	0.261392155549363	1.20881682398199
singles-BM0828-MEP-160420-89	MEP	30.252	-10.709	-4.2735	5.4703	4.3356	1.3437	1.693	-0.41785	-1.564	-2.3407	-0.472863375865392	-0.708814825984796	0.621496205050511	-0.796953512328515	0.157149821256532	-1.35198889746333	-1.21363103190632	-0.845795315763454	-1.69378957299437	-0.747247778945339	0.190376834193021	-0.395348018946379	-1.05204127326414	-0.665530165916849	-1.0267558882295	-0.272508909558818
singles-MEP-141017-36	MEP	20.821	-12.156	-3.2601	4.8129	3.0177	0.01626	1.4059	0.090141	-1.5865	-2.2661	-0.202211170380392	1.4004642745614	-1.26487242959885	-0.778443807623597	-0.49943112023844	0.172247997776459	-0.710733607641244	-0.683259659246747	-0.759767434167268	-1.15641800583593	-0.900762170755316	-1.12742771024057	-0.998216149719273	-1.16925157373022	0.402061003085913	-0.521512973901679
singles-BM0828-MEP-160420-59	MEP	24.91	-11.954	-3.5912	5.2311	3.6226	0.68216	1.6113	0.031013	-1.655	-2.2905	1.5393765118865	0.0263260210551283	-0.562771128443251	0.533189148659281	1.0023583026005	3.40809458345787	1.42782643454601	3.40336065062221	0.86087515080574	0.271165861740032	-2.15970398629484	-0.176019451404027	0.574558957089869	-0.0163209653265247	-0.373706091869016	-1.20771604589493
singles-BM0828-MEP-160420-85	MEP	27.877	-10.224	-4.2064	4.9479	4.7686	1.5904	1.5193	0.30953	-1.5198	-2.2457	-0.749158732031542	-0.943282614479605	-0.211962127991605	-0.88195733409025	1.24319307294787	-0.709963479772742	1.374734169184	-0.608293559067847	-0.367343319281478	-0.699266553871613	-1.36548257454175	0.442456785657618	-1.71338607793777	-0.484210168937697	-1.03344684715032	2.43355034188482
singles-MEP-141017-86	MEP	21.996	-12.117	-3.2949	5.082	3.0903	0.1569	1.518	-0.17695	-1.6914	-2.3543	-0.366904280608527	-0.250858937153306	-1.02881185348709	-0.821147344092142	-1.27281584654852	-0.124566515978943	-0.797594812628421	0.314496977340848	1.62010140638083	-0.94331958376594	-1.53017438407914	-0.60828171956598	-1.24257568133378	-0.100425368996043	0.454973925218746	-0.46807293687554
BM1077-MEP-Frozen-160107-36	MEP	24.068	-11.949	-3.7635	5.239	2.7979	-0.091688	1.6141	-0.32315	-1.4284	-2.2802	-0.558969185083338	-0.859131738236793	-1.05313425591952	-0.644061738371437	0.413564019200731	-0.362572076326662	-0.411020721577519	-0.868584731676971	1.53901127508186	-0.583566685921181	0.192335868999036	0.374822226157042	0.370176666361449	-1.10159704870062	0.0579577530713342	0.272362129916037
