rank	TF	cluster1_mean_zscore	cluster2_mean_zscore	t_statistic	pval	FDR	logp
60	ENSG00000130522_LINE411_JUND_D_N6	-1.63437038157895	-6.69243080645161	5.97955428008855	1.94552324411249e-08	2.54529539452802e-07	7.71096357610183
61	ENSG00000175592_LINE505_FOSL1_D_N3	-1.61056872368421	-6.61672080645161	5.95914191350041	2.10928351711912e-08	2.71430184603263e-07	7.67586504110224
62	ENSG00000167081_LINE2461_PBX3_D_N2	0.289976684210526	1.52725279032258	-5.98104802457606	2.25346167412044e-08	2.80777721157755e-07	7.64714982381868
63	ENSG00000105717_LINE11886_PBX4_I_N1	0.289976684210526	1.52725279032258	-5.98104802457606	2.25346167412044e-08	2.80777721157755e-07	7.64714982381868
64	ENSG00000125740_LINE393_FOSB_D	-1.15816032894737	-5.20524014516129	5.94375708565974	2.34925651512104e-08	2.88139955083312e-07	7.62906956005538
65	ENSG00000173473_LINE2867_SMARCC1_D_N2	-1.64288284210526	-6.68328270967742	5.87465634909417	3.22789421019381e-08	3.89815365985296e-07	7.49108070712281
66	ENSG00000100811_LINE701_YY1_D_N9	0.0759678278947368	1.14208716129032	-5.8695923902169	3.3951209979675e-08	4.03798163349584e-07	7.46914474338254
67	ENSG00000156273_LINE441_BACH1_D_N1	-0.585075631578947	-2.41767643548387	5.85382459440974	3.47123122436123e-08	4.066883756534e-07	7.45951645630279
68	ENSG00000150907_LINE2003_FOXO1_D_N1	-0.00530288684210526	0.995546853225806	-5.88426127948574	4.33671288681923e-08	5.00616057838619e-07	7.36283932947624
69	ENSG00000173039_LINE3227_RELA_D_N13	0.238250407894737	-1.70367668225806	5.79612459918849	4.52467140237123e-08	5.11182400911603e-07	7.34441295531376
70	ENSG00000140044_LINE415_JDP2_D_N2	-1.09362984210526	-4.88234532258064	5.79867460251814	4.55848904325582e-08	5.11182400911603e-07	7.34117908472952
71	ENSG00000105717_LINE11888_PBX4_I_N1	-0.453898694736842	0.576594483870968	-5.839631531252	4.80152356712457e-08	5.30852337826374e-07	7.31862093516486
72	ENSG00000156127_LINE436_BATF_D_N1	-1.916088	-6.44430458064516	5.75363036462655	5.64619790965038e-08	6.07413635080687e-07	7.24824390309971
73	ENSG00000178919_LINE2036_FOXE1_I	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
74	ENSG00000170122_LINE2830_FOXD4_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
75	ENSG00000184492_LINE3271_FOXD4L1_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
76	ENSG00000187559_LINE3690_FOXD4L3_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
77	ENSG00000204779_LINE3964_FOXD4L5_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
78	ENSG00000204793_LINE4101_FOXD4L6_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
79	ENSG00000129654_LINE6765_FOXJ1_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
80	ENSG00000183770_LINE8756_FOXL2_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
81	ENSG00000184659_LINE9077_FOXD4L4_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
82	ENSG00000204828_LINE10486_FOXD4L2_I_N2	-0.218332236842105	0.833884306451613	-5.74486102369662	6.36342660972402e-08	6.07413635080687e-07	7.19630896030323
83	ENSG00000085276_LINE669_MECOM_D_N5	5.36926315789474	3.48713825129032	5.73674088724807	6.42258130533779e-08	6.07413635080687e-07	7.19229038916577
84	ENSG00000171634_LINE3686_BPTF_D_N1	-0.430251625	0.701900951612903	-5.80060085422201	6.72386193771503e-08	6.28336834146916e-07	7.17238121258892
85	ENSG00000170345_LINE476_FOS_D_N4	-1.68984367105263	-6.34757402903226	5.68102546844563	7.93908925164984e-08	7.33170153102748e-07	7.10022931566726
86	ENSG00000177606_LINE517_JUN_D_N5	-1.78224684210526	-6.54973983870968	5.68159307591421	8.15582669103431e-08	7.44427752686171e-07	7.08853201142837
87	ENSG00000185670_LINE1324_ZBTB3_I	-0.400256434210526	0.558820193548387	-5.64818298637608	9.81813194200506e-08	8.85854977325894e-07	7.00797113588458
88	ENSG00000141646_LINE3314_SMAD4_D	0.272539486842105	-0.925722516129032	5.62918230191213	1.05823914225672e-07	8.9586361046859e-07	6.97541617877853
89	ENSG00000168269_LINE2013_FOXI1_D_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
90	ENSG00000170122_LINE2938_FOXD4_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
91	ENSG00000184492_LINE3383_FOXD4L1_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
92	ENSG00000187559_LINE3794_FOXD4L3_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
93	ENSG00000204779_LINE4068_FOXD4L5_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
94	ENSG00000204793_LINE4205_FOXD4L6_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
95	ENSG00000129654_LINE6873_FOXJ1_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
96	ENSG00000183770_LINE8864_FOXL2_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
97	ENSG00000184659_LINE9181_FOXD4L4_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
98	ENSG00000204828_LINE10590_FOXD4L2_I_N1	0.0618146973684211	1.08464492096774	-5.6443598444822	1.11844582743967e-07	8.9586361046859e-07	6.9513850463584
99	ENSG00000020633_LINE3271_RUNX3_D_N2	0.145147894736842	-1.15395364516129	5.60802705822073	1.1706644360014e-07	9.28218561162788e-07	6.93156757501966
100	ENSG00000198517_LINE543_MAFK_D_N5	-0.0355739473684211	-1.46248856451613	5.6054750069744	1.18766808732437e-07	9.32283730469733e-07	6.92530491287656
101	ENSG00000189308_LINE1715_LIN54_I	-0.554962577631579	0.480577290322581	-5.6373347206765	1.22710552595096e-07	9.53703894797129e-07	6.91111808815517
102	ENSG00000185022_LINE534_MAFF_D_N2	-0.145760044736842	-1.60043096774194	5.60657160573594	1.33843530790529e-07	1.03003084748367e-06	6.873402615212
103	ENSG00000179348_LINE2112_GATA2_D_N1	7.54297105263158	5.14418758064516	5.56883342697643	1.42376103120129e-07	1.08505785546033e-06	6.84656289801641
104	ENSG00000123405_LINE389_NFE2_D_N1	-1.28441642105263	-4.84845580645161	5.53900301385216	1.53560592608308e-07	1.15175537721353e-06	6.81372022055814
105	ENSG00000105866_LINE807_SP4_D_N1	-0.0782247894736842	1.08492416129032	-5.580077849896	1.56240595726555e-07	1.15175537721353e-06	6.80620611380454
106	ENSG00000163623_LINE2421_NKX61_D	-0.467394909210526	0.404873251612903	-5.59201660520508	1.56996875039076e-07	1.15175537721353e-06	6.80410899196524
107	ENSG00000148826_LINE14169_NKX62_I_N1	-0.467394909210526	0.404873251612903	-5.59201660520508	1.56996875039076e-07	1.15175537721353e-06	6.80410899196524
108	ENSG00000132170_LINE2996_PPARG_D_N1	0.522967894736842	-0.33429664516129	5.48639859316133	2.08977507183414e-07	1.51889868817652e-06	6.67990045566795
109	ENSG00000174963_LINE1189_ZIC4_D	-0.459078089473684	0.419711903225806	-5.4961324897243	2.1101271760076e-07	1.51962052562849e-06	6.67569136926444
110	ENSG00000112182_LINE360_BACH2_D	-1.50010755263158	-5.56383532258064	5.40021357816711	2.91409873833562e-07	2.07952715510942e-06	6.53549573712751
111	ENSG00000177606_LINE516_JUN_D_N1	-0.397587421052632	-1.84624036451613	5.37942553508418	3.58719055259329e-07	2.53678982176981e-06	6.44524555286356
112	ENSG00000176182_LINE2869_MYPOP_I	-0.722194842105263	0.222623785483871	-5.32427944784254	4.70447462361548e-07	3.2972063362275e-06	6.327488869751
113	ENSG00000102145_LINE2081_GATA1_D_N7	12.6906947368421	8.93185322580645	5.24403022016063	5.93406792570998e-07	4.12218129183618e-06	6.22664748673637
114	ENSG00000197063_LINE539_MAFG_D_N1	-0.893777868421053	-2.24366370967742	5.21068369761394	7.05710396399859e-07	4.85931085570521e-06	6.15137348456979
115	ENSG00000141448_LINE2103_GATA6_D_N2	7.64610131578947	5.3065214516129	5.19894108110472	7.29477447409619e-07	4.97928572017187e-06	6.13698813025025
116	ENSG00000106331_LINE2619_PAX4_D_N1	-0.216439505263158	0.816654148387097	-5.18617685639345	8.65425995089657e-07	5.85632223461052e-06	6.06277006389297
