trait	Category	pvalue
2328	NEUTRO_COUNT	UNK	0.331386618907408
2329	NEUTRO_COUNT	mDC	0.00590485174927095
2330	NEUTRO_COUNT	pDC	0.631049397211209
2331	NEUTRO_COUNT	NK	0.162925344251006
2521	PLT_COUNT	B	0.0100951873528437
2522	PLT_COUNT	CD4	0.0154237618173999
2523	PLT_COUNT	CD8	0.00778853492425714
2524	PLT_COUNT	CLP	0.0388796755389113
2525	PLT_COUNT	CMP	1.66917848071014e-05
2526	PLT_COUNT	Ery	9.66705132820855e-05
2527	PLT_COUNT	GMP-A	0.00024977933228916
2528	PLT_COUNT	GMP-B	0.000205613848646372
2529	PLT_COUNT	GMP-C	2.98338275408513e-05
2530	PLT_COUNT	GMP	0.00018833668934718
2531	PLT_COUNT	HSC	1.54153046921652e-06
2532	PLT_COUNT	LMPP	0.000751642791890352
2533	PLT_COUNT	MCP	0.539975810967423
2534	PLT_COUNT	Mega	3.49996070545317e-09
2535	PLT_COUNT	MEP	1.54418657727946e-05
2536	PLT_COUNT	MPP	8.70530335774856e-07
2537	PLT_COUNT	Mono	0.000287465219522946
2538	PLT_COUNT	UNK	0.00175707079496013
2539	PLT_COUNT	mDC	4.56958028505428e-05
2540	PLT_COUNT	pDC	0.22918053171279
2541	PLT_COUNT	NK	0.000379891962279182
2731	RBC_COUNT	B	0.136738207442304
2732	RBC_COUNT	CD4	0.185799126851202
2733	RBC_COUNT	CD8	0.0266310311678306
2734	RBC_COUNT	CLP	0.143348806388502
2735	RBC_COUNT	CMP	0.000744463629563015
2736	RBC_COUNT	Ery	2.06716984497811e-06
2737	RBC_COUNT	GMP-A	4.7393396471277e-05
2738	RBC_COUNT	GMP-B	2.73855580367358e-05
2739	RBC_COUNT	GMP-C	0.000618908328431585
2740	RBC_COUNT	GMP	0.026645704541429
2741	RBC_COUNT	HSC	0.00276944917308549
2742	RBC_COUNT	LMPP	0.0239297427713774
2743	RBC_COUNT	MCP	0.294250769845288
2744	RBC_COUNT	Mega	0.00218613013974775
2745	RBC_COUNT	MEP	8.74008980908523e-06
2746	RBC_COUNT	MPP	0.0106953621592857
2747	RBC_COUNT	Mono	0.247640362174803
2748	RBC_COUNT	UNK	0.0116984053217296
2749	RBC_COUNT	mDC	0.0119222288431292
2750	RBC_COUNT	pDC	0.195483474442966
2751	RBC_COUNT	NK	0.0167224506591599
2941	RETIC_COUNT	B	0.300801337310714
2942	RETIC_COUNT	CD4	0.326438605954006
2943	RETIC_COUNT	CD8	0.776988206650918
2944	RETIC_COUNT	CLP	0.953858222216205
2945	RETIC_COUNT	CMP	0.0780256901485214
2946	RETIC_COUNT	Ery	2.38700914411535e-10
2947	RETIC_COUNT	GMP-A	0.00178718914723744
2948	RETIC_COUNT	GMP-B	0.00151518934064078
2949	RETIC_COUNT	GMP-C	0.00493383735179184
2950	RETIC_COUNT	GMP	0.172984802167252
2951	RETIC_COUNT	HSC	0.154818645458318
2952	RETIC_COUNT	LMPP	0.136745393358881
2953	RETIC_COUNT	MCP	0.857025140844072
2954	RETIC_COUNT	Mega	3.12674168057116e-06
2955	RETIC_COUNT	MEP	8.87860420011598e-05
2956	RETIC_COUNT	MPP	0.0760542316813973
2957	RETIC_COUNT	Mono	0.0300822608677393
2958	RETIC_COUNT	UNK	0.0204084495349608
2959	RETIC_COUNT	mDC	0.0464696084710209
2960	RETIC_COUNT	pDC	0.353578277180755
2961	RETIC_COUNT	NK	0.189847937420085
3151	WBC_COUNT	B	0.0134180302015539
3152	WBC_COUNT	CD4	0.204476449932611
3153	WBC_COUNT	CD8	0.0880707188057371
3154	WBC_COUNT	CLP	0.69825063925183
3155	WBC_COUNT	CMP	0.461081173504197
3156	WBC_COUNT	Ery	0.462816014663782
3157	WBC_COUNT	GMP-A	0.388906227120903
3158	WBC_COUNT	GMP-B	0.376680813347572
3159	WBC_COUNT	GMP-C	0.383396109325441
3160	WBC_COUNT	GMP	0.417625743037311
3161	WBC_COUNT	HSC	0.565744479050843
3162	WBC_COUNT	LMPP	0.924590063349431
3163	WBC_COUNT	MCP	0.825596523583003
3164	WBC_COUNT	Mega	0.566105589547884
3165	WBC_COUNT	MEP	0.382726393315345
3166	WBC_COUNT	MPP	0.645002110402349
3167	WBC_COUNT	Mono	0.0821583049213183
3168	WBC_COUNT	UNK	0.844615194039198
3169	WBC_COUNT	mDC	0.0573144077018913
3170	WBC_COUNT	pDC	0.289358655584639
3171	WBC_COUNT	NK	0.0421305900631186
