name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
singles-BM0828-MPP-frozen-151103-55	MPP	37.502	-6.2755	-1.1577	4.4294	2.8105	1.4268	1.8959	-0.36071	-1.4957	-2.2973
singles-BM0828-MPP-frozen-151103-56	MPP	29.572	-9.596	-4.4341	4.6049	3.4463	0.67392	1.2352	-0.48026	-0.80947	-2.4576
singles-BM0828-MPP-frozen-151103-57	MPP	36.297	-6.6218	-1.3064	3.8414	2.5776	1.4367	1.6348	-0.65258	-1.0565	-2.2708
singles-BM0828-MPP-frozen-151103-59	MPP	36.82	-6.8749	-0.3813	4.2487	2.5032	1.0373	2.0489	-0.40953	-1.8951	-2.2918
singles-BM0828-MPP-frozen-151103-64	MPP	37.317	-6.8573	-3.3818	4.5108	3.2688	1.203	1.8126	-0.65726	-1.2639	-2.3859
singles-BM0828-MPP-frozen-151103-65	MPP	37.112	-7.3561	-1.2594	4.5222	2.8879	1.3327	1.969	-0.44416	-1.4852	-2.29
singles-BM0828-MPP-frozen-151103-66	MPP	36.851	-6.8	-1.1773	4.3774	2.9758	1.6114	1.98	-0.29898	-1.5867	-2.1756
singles-BM0828-MPP-frozen-151103-67	MPP	36.383	-6.8969	0.11651	4.9867	2.2378	0.84692	2.1604	-0.82261	-1.3758	-2.4449
singles-BM0828-MPP-frozen-151103-68	MPP	35.983	-8.1255	-2.4158	4.9291	3.2975	1.5653	2.0513	-0.46819	-1.2623	-2.2764
singles-BM0828-MPP-frozen-151103-69	MPP	38.137	-5.8416	-1.5113	4.7524	3.57	0.91228	1.5623	-0.69978	-1.441	-2.4344
singles-BM0828-MPP-frozen-151103-71	MPP	37.993	-6.6047	-0.58157	5.1848	3.0413	0.51565	2.0929	-0.68188	-1.859	-2.357
singles-BM0828-MPP-frozen-151103-73	MPP	36.667	-6.7386	-0.78268	4.4686	3.1955	1.4523	2.0599	-0.057311	-1.8315	-2.307
singles-BM0828-MPP-frozen-151103-75	MPP	36.039	-7.5015	-0.37316	4.4079	2.3716	1.3281	2.1714	-0.26753	-1.6477	-2.1757
